Action, games, score, coin, xp, level, staples, commons, specials
Dupe staple, 528, 19080, 305, 481300, 42, 18, 7, 4
Bought common, 551, 19080, 15, 503150, 43, 18, 8, 4
Bought common, 579, 19080, 75, 529750, 44, 18, 9, 4
Bought special, 605, 19080, 70, 554450, 45, 18, 9, 5
Bought special, 631, 19080, 215, 579150, 47, 18, 9, 6
Dupe staple, 640, 19080, 445, 587700, 47, 18, 9, 6
Bought special, 663, 19080, 30, 609550, 48, 18, 9, 7
Dupe staple, 672, 19080, 260, 618100, 48, 18, 9, 7
Dupe staple, 679, 19080, 325, 624750, 49, 18, 9, 7
Bought staple, 685, 19080, 20, 630450, 49, 19, 9, 7
Dupe special, 711, 19080, 765, 655150, 50, 19, 9, 7
Bought common, 731, 19080, 65, 674150, 51, 19, 10, 7
Bought special, 758, 19080, 180, 699800, 53, 19, 10, 8
Bought special, 783, 19080, 80, 723550, 54, 19, 10, 9
Bought common, 810, 19080, 170, 749200, 55, 19, 11, 9
Bought special, 836, 19080, 40, 773900, 56, 19, 11, 10
Bought special, 862, 19080, 35, 798600, 57, 19, 11, 11
Bought common, 888, 19080, 55, 823300, 59, 19, 12, 11
Dupe common, 914, 19080, 800, 848000, 60, 19, 12, 11
Bought special, 933, 19080, 5, 866050, 61, 19, 12, 12
Bought special, 960, 19080, 95, 891700, 62, 19, 12, 13
Bought common, 987, 19080, 60, 917350, 63, 19, 13, 13
Bought special, 1011, 19080, 15, 940150, 65, 19, 13, 14
Bought common, 1039, 19080, 75, 966750, 66, 19, 14, 14
Bought special, 1065, 19080, 70, 991450, 67, 19, 14, 15
Bought special, 1091, 19080, 65, 1016150, 68, 19, 14, 16
Dupe common, 1117, 19080, 835, 1040850, 70, 19, 14, 16
Bought special, 1137, 19080, 135, 1059850, 71, 19, 14, 17
Dupe common, 1162, 19080, 785, 1083600, 72, 19, 14, 17
Dupe common, 1182, 19080, 835, 1102600, 73, 19, 14, 17
Bought common, 1201, 19080, 40, 1120650, 74, 19, 15, 17
Bought special, 1228, 19080, 5, 1146300, 75, 19, 15, 18
Bought common, 1255, 19080, 95, 1171950, 76, 19, 16, 18
Dupe common, 1281, 19080, 840, 1196650, 77, 19, 16, 18
Bought common, 1300, 19080, 45, 1214700, 78, 19, 17, 18
Dupe common, 1326, 19080, 815, 1239400, 80, 19, 17, 18
Bought special, 1347, 19080, 210, 1259350, 81, 19, 17, 19
Bought special, 1371, 19080, 15, 1282150, 82, 19, 17, 20
Bought special, 1399, 19080, 75, 1308750, 83, 19, 17, 21
Bought common, 1425, 19080, 70, 1333450, 84, 19, 18, 21
Dupe common, 1451, 19080, 815, 1358150, 85, 19, 18, 21
Dupe common, 1470, 19080, 770, 1376200, 86, 19, 18, 21
Bought common, 1490, 19080, 70, 1395200, 87, 19, 19, 21
Dupe special, 1516, 19080, 840, 1419900, 89, 19, 19, 21
Bought common, 1537, 19080, 235, 1439850, 90, 19, 20, 21
Bought special, 1561, 19080, 40, 1462650, 91, 19, 20, 22
Dupe common, 1588, 19080, 755, 1488300, 92, 19, 20, 22
Bought special, 1608, 19080, 55, 1507300, 93, 19, 20, 23
Dupe common, 1634, 19080, 800, 1532000, 94, 19, 20, 23
Dupe special, 1653, 19080, 755, 1550050, 95, 19, 20, 23
Bought common, 1673, 19080, 55, 1569050, 96, 19, 21, 23
Bought common, 1700, 19080, 145, 1594700, 97, 19, 22, 23
Bought common, 1726, 19080, 165, 1619400, 99, 19, 23, 23
Dupe special, 1751, 19080, 815, 1643150, 100, 19, 23, 23
Dupe special, 1770, 19080, 770, 1661200, 101, 19, 23, 23
Dupe special, 1790, 19080, 820, 1680200, 102, 19, 23, 23
Bought special, 1810, 19080, 120, 1699200, 103, 19, 23, 24
Dupe special, 1837, 19080, 835, 1724850, 104, 19, 23, 24
Bought special, 1856, 19080, 40, 1742900, 105, 19, 23, 25
Dupe special, 1882, 19080, 785, 1767600, 106, 19, 23, 25
Dupe special, 1902, 19080, 835, 1786600, 107, 19, 23, 25
Dupe common, 1921, 19080, 790, 1804650, 108, 19, 23, 25
Dupe common, 1941, 19080, 840, 1823650, 109, 19, 23, 25
Bought common, 1960, 19080, 45, 1841700, 110, 19, 24, 25
Bought special, 1987, 19080, 10, 1867350, 111, 19, 24, 26
Bought special, 2013, 19080, 5, 1892050, 112, 19, 24, 27
Dupe special, 2040, 19080, 845, 1917700, 113, 19, 24, 27
Dupe special, 2060, 19080, 895, 1936700, 114, 19, 24, 27
Bought common, 2080, 19080, 195, 1955700, 115, 19, 25, 27
Dupe common, 2105, 19080, 870, 1979450, 117, 19, 25, 27
Dupe common, 2125, 19080, 770, 1998450, 117, 19, 25, 27
Dupe special, 2145, 19080, 820, 2017450, 118, 19, 25, 27
Bought special, 2164, 19080, 25, 2035500, 119, 19, 25, 28
Dupe common, 2190, 19080, 920, 2060200, 121, 19, 25, 28
Dupe common, 2210, 19080, 970, 2079200, 122, 19, 25, 28
Bought common, 2230, 19080, 120, 2098200, 122, 19, 26, 28
Dupe special, 2255, 19080, 795, 2121950, 124, 19, 26, 28
Bought special, 2275, 19080, 95, 2140950, 125, 19, 26, 29
Dupe common, 2301, 19080, 840, 2165650, 126, 19, 26, 29
Dupe common, 2320, 19080, 795, 2183700, 127, 19, 26, 29
Dupe common, 2340, 19080, 845, 2202700, 128, 19, 26, 29
Bought special, 2360, 19080, 145, 2221700, 129, 19, 26, 30
Dupe special, 2386, 19080, 765, 2246400, 130, 19, 26, 30
Dupe special, 2406, 19080, 815, 2265400, 131, 19, 26, 30
Dupe common, 2425, 19080, 770, 2283450, 132, 19, 26, 30
Bought common, 2445, 19080, 70, 2302450, 133, 19, 27, 30
Dupe special, 2471, 19080, 815, 2327150, 134, 19, 27, 30
Dupe special, 2490, 19080, 770, 2345200, 135, 19, 27, 30
Dupe common, 2510, 19080, 820, 2364200, 136, 19, 27, 30
Bought common, 2530, 19080, 120, 2383200, 137, 19, 28, 30
Dupe special, 2557, 19080, 835, 2408850, 138, 19, 28, 30
Dupe common, 2576, 19080, 790, 2426900, 139, 19, 28, 30
Dupe special, 2596, 19080, 840, 2445900, 140, 19, 28, 30
Dupe common, 2615, 19080, 795, 2463950, 141, 19, 28, 30
Dupe common, 2635, 19080, 845, 2482950, 142, 19, 28, 30
Dupe special, 2654, 19080, 800, 2501000, 143, 19, 28, 30
Dupe common, 2674, 19080, 850, 2520000, 144, 19, 28, 30
Bought common, 2695, 19080, 245, 2539950, 145, 19, 29, 30

Bought staple, 4, 7560, 36, 1610, 5, 1, 0, 0
Bought staple, 13, 10440, 181, 5810, 9, 2, 0, 0
Bought staple, 20, 12600, 11, 9860, 11, 3, 0, 0
Bought staple, 32, 13320, 57, 17570, 12, 4, 0, 0
Bought staple, 42, 14040, 170, 24450, 14, 5, 0, 0
Bought staple, 50, 15480, 33, 30330, 15, 6, 0, 0
Bought staple, 60, 16200, 98, 38230, 16, 7, 0, 0
Bought staple, 68, 16920, 64, 44890, 18, 8, 0, 0
Bought staple, 76, 18360, 52, 52020, 19, 9, 0, 0
Bought staple, 84, 19080, 225, 59500, 21, 10, 0, 0
Bought common, 110, 19080, 220, 84200, 22, 10, 1, 0
Bought staple, 119, 19080, 75, 92750, 22, 11, 1, 0
Bought special, 145, 19080, 70, 117450, 23, 11, 1, 1
Dupe staple, 152, 19080, 260, 124100, 24, 11, 1, 1
Bought common, 177, 19080, 35, 147850, 25, 11, 2, 1
Bought staple, 186, 19080, 15, 156400, 25, 12, 2, 1
Dupe staple, 194, 19080, 300, 164000, 26, 12, 2, 1
Dupe staple, 201, 19080, 340, 170650, 26, 12, 2, 1
Bought staple, 208, 19080, 5, 177300, 26, 13, 2, 1
Dupe staple, 216, 19080, 290, 184900, 27, 13, 2, 1
Bought common, 240, 19080, 95, 207700, 28, 13, 3, 1
Bought staple, 250, 19080, 170, 217200, 28, 14, 3, 1
Bought common, 275, 19080, 95, 240950, 30, 14, 4, 1
Dupe staple, 284, 19080, 325, 249500, 30, 14, 4, 1
Bought special, 308, 19080, 5, 272300, 31, 14, 4, 2
Bought staple, 316, 19080, 40, 279900, 32, 15, 4, 2
Bought common, 342, 19080, 35, 304600, 33, 15, 5, 2
Bought staple, 351, 19080, 15, 313150, 33, 16, 5, 2
Bought special, 379, 19080, 225, 339750, 35, 16, 5, 3
Bought staple, 386, 19080, 15, 346400, 35, 17, 5, 3
Dupe staple, 396, 19080, 340, 355900, 35, 17, 5, 3
Dupe staple, 401, 19080, 340, 360650, 36, 17, 5, 3
Bought common, 425, 19080, 20, 383450, 37, 17, 6, 3
Bought special, 451, 19080, 15, 408150, 38, 17, 6, 4
Dupe staple, 461, 19080, 340, 417650, 38, 17, 6, 4
Dupe staple, 467, 19080, 310, 423350, 39, 17, 6, 4
Bought staple, 473, 19080, 5, 429050, 39, 18, 6, 4
Dupe staple, 483, 19080, 330, 438550, 39, 18, 6, 4
Bought special, 506, 19080, 65, 460400, 41, 18, 6, 5
Bought special, 532, 19080, 60, 485100, 42, 18, 6, 6
Bought common, 559, 19080, 25, 510750, 43, 18, 7, 6
Dupe staple, 568, 19080, 405, 519300, 44, 18, 7, 6
Dupe common, 590, 19080, 770, 540200, 45, 18, 7, 6
Dupe staple, 593, 19080, 305, 543050, 45, 18, 7, 6
Bought special, 618, 19080, 80, 566800, 46, 18, 7, 7
Dupe staple, 627, 19080, 310, 575350, 46, 18, 7, 7
Bought special, 650, 19080, 20, 597200, 47, 18, 7, 8
Dupe staple, 659, 19080, 275, 605750, 48, 18, 7, 8
Bought common, 683, 19080, 80, 628550, 49, 18, 8, 8
Dupe staple, 692, 19080, 310, 637100, 49, 18, 8, 8
Bought special, 716, 19080, 140, 659900, 51, 18, 8, 9
Bought staple, 724, 19080, 25, 667500, 51, 19, 8, 9
Bought special, 750, 19080, 20, 692200, 52, 19, 8, 10
Bought special, 778, 19080, 80, 718800, 53, 19, 8, 11
Bought special, 802, 19080, 35, 741600, 55, 19, 8, 12
Bought special, 830, 19080, 220, 768200, 56, 19, 8, 13
Bought common, 856, 19080, 90, 792900, 57, 19, 9, 13
Bought common, 882, 19080, 85, 817600, 58, 19, 10, 13
Bought common, 907, 19080, 10, 841350, 60, 19, 11, 13
Bought common, 933, 19080, 5, 866050, 61, 19, 12, 13
Bought special, 960, 19080, 95, 891700, 62, 19, 12, 14
Bought special, 987, 19080, 60, 917350, 63, 19, 12, 15
Bought common, 1011, 19080, 15, 940150, 65, 19, 13, 15
Bought common, 1039, 19080, 75, 966750, 66, 19, 14, 15
Dupe special, 1065, 19080, 820, 991450, 67, 19, 14, 15
Bought common, 1084, 19080, 25, 1009500, 68, 19, 15, 15
Bought common, 1110, 19080, 20, 1034200, 69, 19, 16, 15
Dupe common, 1137, 19080, 885, 1059850, 71, 19, 16, 15
Bought common, 1157, 19080, 35, 1078850, 71, 19, 17, 15
Dupe special, 1182, 19080, 835, 1102600, 73, 19, 17, 15
Bought common, 1201, 19080, 40, 1120650, 74, 19, 18, 15
Bought common, 1228, 19080, 5, 1146300, 75, 19, 19, 15
Dupe common, 1255, 19080, 845, 1171950, 76, 19, 19, 15
Dupe special, 1274, 19080, 800, 1190000, 77, 19, 19, 15
Dupe special, 1293, 19080, 755, 1208050, 78, 19, 19, 15
Bought common, 1313, 19080, 55, 1227050, 79, 19, 20, 15
Dupe common, 1340, 19080, 895, 1252700, 80, 19, 20, 15
Bought common, 1360, 19080, 195, 1271700, 81, 19, 21, 15
Bought special, 1386, 19080, 65, 1296400, 82, 19, 21, 16
Dupe common, 1410, 19080, 770, 1319200, 84, 19, 21, 16
Bought special, 1431, 19080, 165, 1339150, 85, 19, 21, 17
Bought common, 1457, 19080, 35, 1363850, 86, 19, 22, 17
Dupe common, 1483, 19080, 780, 1388550, 87, 19, 22, 17
Bought common, 1503, 19080, 80, 1407550, 88, 19, 23, 17
Dupe common, 1530, 19080, 920, 1433200, 89, 19, 23, 17
Bought special, 1550, 19080, 220, 1452200, 90, 19, 23, 18
Dupe special, 1576, 19080, 840, 1476900, 91, 19, 23, 18
Bought common, 1595, 19080, 45, 1494950, 92, 19, 24, 18
Dupe special, 1621, 19080, 940, 1519650, 94, 19, 24, 18
Dupe special, 1641, 19080, 840, 1538650, 94, 19, 24, 18
Bought special, 1660, 19080, 45, 1556700, 95, 19, 24, 19
Dupe special, 1686, 19080, 815, 1581400, 97, 19, 24, 19
Dupe common, 1705, 19080, 770, 1599450, 98, 19, 24, 19
Bought common, 1726, 19080, 165, 1619400, 99, 19, 25, 19
Bought special, 1751, 19080, 65, 1643150, 100, 19, 25, 20
Bought common, 1778, 19080, 30, 1668800, 101, 19, 26, 20
Dupe common, 1804, 19080, 775, 1693500, 102, 19, 26, 20
Dupe special, 1824, 19080, 825, 1712500, 103, 19, 26, 20
Bought special, 1843, 19080, 30, 1730550, 104, 19, 26, 21
Dupe common, 1870, 19080, 870, 1756200, 105, 19, 26, 21
Bought special, 1890, 19080, 170, 1775200, 106, 19, 26, 22
Dupe special, 1916, 19080, 940, 1799900, 108, 19, 26, 22
Dupe special, 1936, 19080, 840, 1818900, 108, 19, 26, 22
Dupe common, 1955, 19080, 795, 1836950, 109, 19, 26, 22
Bought common, 1975, 19080, 95, 1855950, 110, 19, 27, 22
Bought special, 2000, 19080, 145, 1879700, 112, 19, 27, 23
Bought special, 2026, 19080, 15, 1904400, 113, 19, 27, 24
Bought common, 2052, 19080, 10, 1929100, 114, 19, 28, 24
Dupe special, 2080, 19080, 945, 1955700, 115, 19, 28, 24
Dupe common, 2099, 19080, 775, 1973750, 116, 19, 28, 24
Bought common, 2119, 19080, 75, 1992750, 117, 19, 29, 24
Dupe common, 2145, 19080, 820, 2017450, 118, 19, 29, 24
Bought special, 2164, 19080, 25, 2035500, 119, 19, 29, 25
Dupe common, 2190, 19080, 920, 2060200, 121, 19, 29, 25
Dupe common, 2210, 19080, 970, 2079200, 122, 19, 29, 25
Bought special, 2230, 19080, 120, 2098200, 122, 19, 29, 26
